feature,value,contribution,normalized_contribution
total_assets,-0.7939727901187935,-1.1689948788100994,-0.878381025034632
financial_balance,-0.7946028747671684,-0.04773688491259771,-0.03586942480378433
fund_balance,-0.7919566403259928,-0.03677085503364358,-0.027629566152358287
deposit_balance,-0.7545261905200079,-0.0337575984237456,-0.025365409587028688
monthly_income,-0.9153747659136526,-0.029034216309311668,-0.021816267243881856
insurance_balance,-0.7076088831440237,-0.005341312935957546,-0.004013454649598415
age,-1.0917573352506291,0.0010858059512202343,0.0008158729877348485
credit_card_monthly_expense,-0.9847765018870008,-0.0009925039899417079,-0.0007457660318609323
lifecycle_stage_忠诚客户,0.0,0.0009687126414433635,0.0007278892477451598
occupation_type_互联网从业者,1.0,-0.0009487589145536664,-0.0007128960468369799
investment_monthly_count,-0.6147133984007888,-0.0009034304638240867,-0.0006788363159204444
product_count,0.486571598872663,-0.0008173015497071051,-0.0006141191770872948
lifecycle_stage_成熟客户,0.0,-0.0007602851381295347,-0.0005712771296556751
lifecycle_stage_成长客户,0.0,-0.0007348418431997295,-0.0005521590754316486
app_financial_view_time,0.670652391359975,-0.0007196538975619671,-0.0005407468755158994
asset_cumulative_growth,-0.6780544055617219,-0.000618910240522133,-0.0004650482404402173
asset_growth_rate,1.69429087998754,0.0003061402724051646,0.0002300333484380588
app_login_count,0.9514718425241576,-0.00019394490322532332,-0.0001457299137774719
lifecycle_stage_价值客户,0.0,0.00011160700252698497,8.386133682679814e-05
asset_mom_change,-0.6841432572275273,-5.405493917738906e-05,-4.061680144497266e-05
total_assets_rolling_std,-0.526016906908446,0.0,0.0
total_assets_rolling_max,-0.6473887791313055,0.0,0.0
financial_balance_rolling_max,-0.6420837849981156,0.0,0.0
total_assets_rolling_mean,-0.6460884286901335,0.0,0.0
financial_balance_rolling_std,-0.5268419358655253,0.0,0.0
fund_balance_rolling_mean,-0.647755274071837,0.0,0.0
fund_balance_rolling_max,-0.6508618927242225,0.0,0.0
financial_balance_rolling_mean,-0.6453579796963814,0.0,0.0
occupation_type_私营业主,0.0,0.0,0.0
financial_repurchase_count,-0.3695946105523208,0.0,0.0
occupation_type_金融从业者,0.0,0.0,0.0
occupation_type_专业人士,0.0,0.0,0.0
occupation_type_事业单位,0.0,0.0,0.0
occupation_type_企业高管,0.0,0.0,0.0
occupation_type_传统行业,0.0,0.0,0.0
lifecycle_stage_新客户,1.0,0.0,0.0
marriage_status_未婚,0.0,0.0,0.0
marriage_status_已婚,1.0,0.0,0.0
city_level_二线城市,0.0,0.0,0.0
city_level_一线城市,1.0,0.0,0.0
fund_balance_rolling_std,-0.5636042279359409,0.0,0.0
